Month,icecream
2004-01,10
2004-02,13
2004-03,15
2004-04,17
2004-05,20
2004-06,22
2004-07,25
2004-08,18
2004-09,16
2004-10,13
2004-11,13
2004-12,13
2005-01,13
2005-02,15
2005-03,13
2005-04,18
2005-05,20
2005-06,28
2005-07,29
2005-08,20
2005-09,13
2005-10,12
2005-11,13
2005-12,11
2006-01,11
2006-02,13
2006-03,13
2006-04,16
2006-05,20
2006-06,25
2006-07,29
2006-08,21
2006-09,16
2006-10,13
2006-11,13
2006-12,13
2007-01,13
2007-02,14
2007-03,15
2007-04,17
2007-05,21
2007-06,26
2007-07,27
2007-08,20
2007-09,16
2007-10,13
2007-11,13
2007-12,12
2008-01,12
2008-02,13
2008-03,14
2008-04,18
2008-05,20
2008-06,25
2008-07,25
2008-08,20
2008-09,15
2008-10,12
2008-11,12
2008-12,12
2009-01,12
2009-02,14
2009-03,16
2009-04,18
2009-05,22
2009-06,26
2009-07,28
2009-08,23
2009-09,18
2009-10,13
2009-11,14
2009-12,12
2010-01,14
2010-02,14
2010-03,15
2010-04,19
2010-05,22
2010-06,24
2010-07,30
2010-08,25
2010-09,19
2010-10,15
2010-11,14
2010-12,13
2011-01,20
2011-02,20
2011-03,20
2011-04,37
2011-05,29
2011-06,35
2011-07,40
2011-08,31
2011-09,25
2011-10,25
2011-11,23
2011-12,25
2012-01,27
2012-02,27
2012-03,30
2012-04,33
2012-05,38
2012-06,48
2012-07,48
2012-08,36
2012-09,27
2012-10,20
2012-11,19
2012-12,20
2013-01,21
2013-02,21
2013-03,24
2013-04,26
2013-05,33
2013-06,40
2013-07,43
2013-08,34
2013-09,24
2013-10,19
2013-11,18
2013-12,19
2014-01,22
2014-02,23
2014-03,24
2014-04,28
2014-05,35
2014-06,40
2014-07,47
2014-08,36
2014-09,26
2014-10,21
2014-11,19
2014-12,20
2015-01,22
2015-02,25
2015-03,31
2015-04,35
2015-05,38
2015-06,43
2015-07,54
2015-08,41
2015-09,31
2015-10,23
2015-11,24
2015-12,22
2016-01,28
2016-02,29
2016-03,35
2016-04,41
2016-05,48
2016-06,57
2016-07,71
2016-08,51
2016-09,38
2016-10,39
2016-11,55
2016-12,86
2017-01,32
2017-02,36
2017-03,42
2017-04,53
2017-05,59
2017-06,74
2017-07,89
2017-08,61
2017-09,46
2017-10,38
2017-11,33
2017-12,34
2018-01,38
2018-02,40
2018-03,51
2018-04,55
2018-05,69
2018-06,77
2018-07,93
2018-08,66
2018-09,48
2018-10,38
2018-11,34
2018-12,34
2019-01,38
2019-02,42
2019-03,52
2019-04,57
2019-05,65
2019-06,82
2019-07,100
2019-08,71
2019-09,52
2019-10,39
2019-11,35
2019-12,35
2020-01,42
2020-02,44
2020-03,45
2020-04,53
2020-05,71
2020-06,81
2020-07,92
2020-08,73
2020-09,56
2020-10,43
2020-11,38
2020-12,35
2021-01,45
2021-02,46
2021-03,56
2021-04,68
